Sample_Source,Sample_Name,Sample_Type,Basename
A2004,GSM3759532,Normal,GSM3759532_CLX_Methylation_A2004_N
A2004,GSM3759533,Tumor,GSM3759533_CLX_Methylation_A2004_T
A2027,GSM3759534,Normal,GSM3759534_CLX_Methylation_A2027_N
A2027,GSM3759535,Tumor,GSM3759535_CLX_Methylation_A2027_T
A2050,GSM3759536,Normal,GSM3759536_CLX_Methylation_A2050_N
A2050,GSM3759537,Tumor,GSM3759537_CLX_Methylation_A2050_T
A2073,GSM3759538,Normal,GSM3759538_CLX_Methylation_A2073_N
A2073,GSM3759539,Tumor,GSM3759539_CLX_Methylation_A2073_T
A2096,GSM3759540,Normal,GSM3759540_CLX_Methylation_A2096_N
A2096,GSM3759541,Tumor,GSM3759541_CLX_Methylation_A2096_T
B2012,GSM3759543,Normal,GSM3759543_CLX_Methylation_B2012_N
B2012,GSM3759544,Tumor,GSM3759544_CLX_Methylation_B2012_T
B2035,GSM3759545,Normal,GSM3759545_CLX_Methylation_B2035_N
B2035,GSM3759546,Tumor,GSM3759546_CLX_Methylation_B2035_T
B2058,GSM3759547,Normal,GSM3759547_CLX_Methylation_B2058_N
B2058,GSM3759548,Tumor,GSM3759548_CLX_Methylation_B2058_T
B2081,GSM3759549,Normal,GSM3759549_CLX_Methylation_B2081_N
B2081,GSM3759550,Tumor,GSM3759550_CLX_Methylation_B2081_T
C2021,GSM3759554,Normal,GSM3759554_CLX_Methylation_C2021_N
C2021,GSM3759555,Tumor,GSM3759555_CLX_Methylation_C2021_T
C2044,GSM3759556,Normal,GSM3759556_CLX_Methylation_C2044_N
C2044,GSM3759557,Tumor,GSM3759557_CLX_Methylation_C2044_T
C2067,GSM3759558,Normal,GSM3759558_CLX_Methylation_C2067_N
C2067,GSM3759559,Tumor,GSM3759559_CLX_Methylation_C2067_T
C2090,GSM3759560,Normal,GSM3759560_CLX_Methylation_C2090_N
C2090,GSM3759561,Tumor,GSM3759561_CLX_Methylation_C2090_T
D2010,GSM3759565,Normal,GSM3759565_CLX_Methylation_D2010_N
D2010,GSM3759566,Tumor,GSM3759566_CLX_Methylation_D2010_T
D2033,GSM3759567,Normal,GSM3759567_CLX_Methylation_D2033_N
D2033,GSM3759568,Tumor,GSM3759568_CLX_Methylation_D2033_T
D2079,GSM3759570,Normal,GSM3759570_CLX_Methylation_D2079_N
D2079,GSM3759571,Tumor,GSM3759571_CLX_Methylation_D2079_T
E2023,GSM3759575,Normal,GSM3759575_CLX_Methylation_E2023_N
E2023,GSM3759576,Tumor,GSM3759576_CLX_Methylation_E2023_T
E2046,GSM3759577,Normal,GSM3759577_CLX_Methylation_E2046_N
E2046,GSM3759578,Tumor,GSM3759578_CLX_Methylation_E2046_T
E2069,GSM3759579,Normal,GSM3759579_CLX_Methylation_E2069_N
E2069,GSM3759580,Tumor,GSM3759580_CLX_Methylation_E2069_T
E2092,GSM3759581,Normal,GSM3759581_CLX_Methylation_E2092_N
E2092,GSM3759582,Tumor,GSM3759582_CLX_Methylation_E2092_T
F2008,GSM3759585,Normal,GSM3759585_CLX_Methylation_F2008_N
F2008,GSM3759586,Tumor,GSM3759586_CLX_Methylation_F2008_T
F2031,GSM3759587,Normal,GSM3759587_CLX_Methylation_F2031_N
F2031,GSM3759588,Tumor,GSM3759588_CLX_Methylation_F2031_T
F2054,GSM3759589,Normal,GSM3759589_CLX_Methylation_F2054_N
F2054,GSM3759590,Tumor,GSM3759590_CLX_Methylation_F2054_T
F2077,GSM3759591,Normal,GSM3759591_CLX_Methylation_F2077_N
F2077,GSM3759592,Tumor,GSM3759592_CLX_Methylation_F2077_T
F2100,GSM3759593,Normal,GSM3759593_CLX_Methylation_F2100_N
F2100,GSM3759594,Tumor,GSM3759594_CLX_Methylation_F2100_T
G2005,GSM3759595,Normal,GSM3759595_CLX_Methylation_G2005_N
G2005,GSM3759596,Tumor,GSM3759596_CLX_Methylation_G2005_T
G2028,GSM3759597,Normal,GSM3759597_CLX_Methylation_G2028_N
G2028,GSM3759598,Tumor,GSM3759598_CLX_Methylation_G2028_T
G2051,GSM3759599,Normal,GSM3759599_CLX_Methylation_G2051_N
G2051,GSM3759600,Tumor,GSM3759600_CLX_Methylation_G2051_T
G2097,GSM3759602,Normal,GSM3759602_CLX_Methylation_G2097_N
G2097,GSM3759603,Tumor,GSM3759603_CLX_Methylation_G2097_T
H2019,GSM3759606,Normal,GSM3759606_CLX_Methylation_H2019_N
H2019,GSM3759607,Tumor,GSM3759607_CLX_Methylation_H2019_T
H2042,GSM3759608,Normal,GSM3759608_CLX_Methylation_H2042_N
H2042,GSM3759609,Tumor,GSM3759609_CLX_Methylation_H2042_T
H2065,GSM3759610,Normal,GSM3759610_CLX_Methylation_H2065_N
H2065,GSM3759611,Tumor,GSM3759611_CLX_Methylation_H2065_T
H2088,GSM3759612,Normal,GSM3759612_CLX_Methylation_H2088_N
H2088,GSM3759613,Tumor,GSM3759613_CLX_Methylation_H2088_T
J2014,GSM3759617,Normal,GSM3759617_CLX_Methylation_J2014_N
J2014,GSM3759618,Tumor,GSM3759618_CLX_Methylation_J2014_T
J2037,GSM3759619,Normal,GSM3759619_CLX_Methylation_J2037_N
J2037,GSM3759620,Tumor,GSM3759620_CLX_Methylation_J2037_T
J2060,GSM3759621,Normal,GSM3759621_CLX_Methylation_J2060_N
J2060,GSM3759622,Tumor,GSM3759622_CLX_Methylation_J2060_T
K2022,GSM3759625,Normal,GSM3759625_CLX_Methylation_K2022_N
K2022,GSM3759626,Tumor,GSM3759626_CLX_Methylation_K2022_T
K2045,GSM3759627,Normal,GSM3759627_CLX_Methylation_K2045_N
K2045,GSM3759628,Tumor,GSM3759628_CLX_Methylation_K2045_T
K2068,GSM3759629,Normal,GSM3759629_CLX_Methylation_K2068_N
K2068,GSM3759630,Tumor,GSM3759630_CLX_Methylation_K2068_T
K2091,GSM3759631,Normal,GSM3759631_CLX_Methylation_K2091_N
K2091,GSM3759632,Tumor,GSM3759632_CLX_Methylation_K2091_T
L2020,GSM3759636,Normal,GSM3759636_CLX_Methylation_L2020_N
L2020,GSM3759637,Tumor,GSM3759637_CLX_Methylation_L2020_T
L2043,GSM3759638,Normal,GSM3759638_CLX_Methylation_L2043_N
L2043,GSM3759639,Tumor,GSM3759639_CLX_Methylation_L2043_T
L2066,GSM3759640,Normal,GSM3759640_CLX_Methylation_L2066_N
L2066,GSM3759641,Tumor,GSM3759641_CLX_Methylation_L2066_T
L2089,GSM3759642,Normal,GSM3759642_CLX_Methylation_L2089_N
L2089,GSM3759643,Tumor,GSM3759643_CLX_Methylation_L2089_T
M2006,GSM3759647,Normal,GSM3759647_CLX_Methylation_M2006_N
M2006,GSM3759648,Tumor,GSM3759648_CLX_Methylation_M2006_T
M2029,GSM3759649,Normal,GSM3759649_CLX_Methylation_M2029_N
M2029,GSM3759650,Tumor,GSM3759650_CLX_Methylation_M2029_T
M2052,GSM3759651,Normal,GSM3759651_CLX_Methylation_M2052_N
M2052,GSM3759652,Tumor,GSM3759652_CLX_Methylation_M2052_T
M2075,GSM3759653,Normal,GSM3759653_CLX_Methylation_M2075_N
M2075,GSM3759654,Tumor,GSM3759654_CLX_Methylation_M2075_T
M2098,GSM3759655,Normal,GSM3759655_CLX_Methylation_M2098_N
M2098,GSM3759656,Tumor,GSM3759656_CLX_Methylation_M2098_T
N2013,GSM3759659,Normal,GSM3759659_CLX_Methylation_N2013_N
N2013,GSM3759660,Tumor,GSM3759660_CLX_Methylation_N2013_T
N2036,GSM3759661,Normal,GSM3759661_CLX_Methylation_N2036_N
N2036,GSM3759662,Tumor,GSM3759662_CLX_Methylation_N2036_T
N2059,GSM3759663,Normal,GSM3759663_CLX_Methylation_N2059_N
N2059,GSM3759664,Tumor,GSM3759664_CLX_Methylation_N2059_T
P2009,GSM3759668,Normal,GSM3759668_CLX_Methylation_P2009_N
P2009,GSM3759669,Tumor,GSM3759669_CLX_Methylation_P2009_T
P2032,GSM3759670,Normal,GSM3759670_CLX_Methylation_P2032_N
P2032,GSM3759671,Tumor,GSM3759671_CLX_Methylation_P2032_T
P2055,GSM3759672,Normal,GSM3759672_CLX_Methylation_P2055_N
P2055,GSM3759673,Tumor,GSM3759673_CLX_Methylation_P2055_T
P2078,GSM3759674,Normal,GSM3759674_CLX_Methylation_P2078_N
P2078,GSM3759675,Tumor,GSM3759675_CLX_Methylation_P2078_T
Q2017,GSM3759678,Normal,GSM3759678_CLX_Methylation_Q2017_N
Q2017,GSM3759679,Tumor,GSM3759679_CLX_Methylation_Q2017_T
Q2040,GSM3759680,Normal,GSM3759680_CLX_Methylation_Q2040_N
Q2040,GSM3759681,Tumor,GSM3759681_CLX_Methylation_Q2040_T
Q2063,GSM3759682,Normal,GSM3759682_CLX_Methylation_Q2063_N
Q2063,GSM3759683,Tumor,GSM3759683_CLX_Methylation_Q2063_T
Q2086,GSM3759684,Normal,GSM3759684_CLX_Methylation_Q2086_N
Q2086,GSM3759685,Tumor,GSM3759685_CLX_Methylation_Q2086_T
R2002,GSM3759689,Normal,GSM3759689_CLX_Methylation_R2002_N
R2002,GSM3759690,Tumor,GSM3759690_CLX_Methylation_R2002_T
R2025,GSM3759691,Normal,GSM3759691_CLX_Methylation_R2025_N
R2025,GSM3759692,Tumor,GSM3759692_CLX_Methylation_R2025_T
R2048,GSM3759693,Normal,GSM3759693_CLX_Methylation_R2048_N
R2048,GSM3759694,Tumor,GSM3759694_CLX_Methylation_R2048_T
R2071,GSM3759695,Normal,GSM3759695_CLX_Methylation_R2071_N
R2071,GSM3759696,Tumor,GSM3759696_CLX_Methylation_R2071_T
R2094,GSM3759697,Normal,GSM3759697_CLX_Methylation_R2094_N
R2094,GSM3759698,Tumor,GSM3759698_CLX_Methylation_R2094_T
S2016,GSM3759702,Normal,GSM3759702_CLX_Methylation_S2016_N
S2016,GSM3759703,Tumor,GSM3759703_CLX_Methylation_S2016_T
S2039,GSM3759704,Normal,GSM3759704_CLX_Methylation_S2039_N
S2039,GSM3759705,Tumor,GSM3759705_CLX_Methylation_S2039_T
S2062,GSM3759706,Normal,GSM3759706_CLX_Methylation_S2062_N
S2062,GSM3759707,Tumor,GSM3759707_CLX_Methylation_S2062_T
S2085,GSM3759708,Normal,GSM3759708_CLX_Methylation_S2085_N
S2085,GSM3759709,Tumor,GSM3759709_CLX_Methylation_S2085_T
T2024,GSM3759713,Normal,GSM3759713_CLX_Methylation_T2024_N
T2024,GSM3759714,Tumor,GSM3759714_CLX_Methylation_T2024_T
T2047,GSM3759715,Normal,GSM3759715_CLX_Methylation_T2047_N
T2047,GSM3759716,Tumor,GSM3759716_CLX_Methylation_T2047_T
T2093,GSM3759718,Normal,GSM3759718_CLX_Methylation_T2093_N
T2093,GSM3759719,Tumor,GSM3759719_CLX_Methylation_T2093_T
V2041,GSM3759723,Normal,GSM3759723_CLX_Methylation_V2041_N
V2041,GSM3759724,Tumor,GSM3759724_CLX_Methylation_V2041_T
V2064,GSM3759725,Normal,GSM3759725_CLX_Methylation_V2064_N
V2064,GSM3759726,Tumor,GSM3759726_CLX_Methylation_V2064_T
V2087,GSM3759727,Normal,GSM3759727_CLX_Methylation_V2087_N
V2087,GSM3759728,Tumor,GSM3759728_CLX_Methylation_V2087_T
