Sample_Name,Sample_Source,Sample_Type
SRR24166098,NYU62,Tumor
SRR24166099,NYU62,Normal
SRR24166100,NYU608,Tumor
SRR24166101,NYU608,Normal
SRR24166102,NYU565,Tumor
SRR24166103,NYU565,Normal
SRR24166104,NYU539,Tumor
SRR24166105,NYU539,Normal
SRR24166106,NYU502,Tumor
SRR24166107,NYU502,Normal
SRR24166108,NYU50,Tumor
SRR24166109,NYU50,Normal
SRR24166110,NYU457,Tumor
SRR24166111,NYU457,Normal
SRR24166112,NYU454,Tumor
SRR24166113,NYU454,Normal
SRR24166114,NYU1949,Tumor
SRR24166115,NYU1949,Normal
SRR24166116,NYU1940,Tumor
SRR24166117,NYU1940,Normal
SRR24166118,NYU1932,Tumor
SRR24166119,NYU1932,Normal
SRR24166120,NYU1923,Tumor
SRR24166121,NYU1923,Normal
SRR24166122,NYU1906,Tumor
SRR24166123,NYU1906,Normal
SRR24166124,NYU1900,Tumor
SRR24166125,NYU1900,Normal
SRR24166126,NYU1898,Tumor
SRR24166127,NYU1898,Normal
SRR24166128,NYU1897,Tumor
SRR24166129,NYU1897,Normal
SRR24166130,NYU1597,Tumor
SRR24166131,NYU1597,Normal
SRR24166132,NYU1595,Tumor
SRR24166133,NYU1595,Normal
SRR24166134,NYU1562,Tumor
SRR24166135,NYU1562,Normal
SRR24166136,NYU1555,Tumor
SRR24166137,NYU1555,Normal
SRR24166138,NYU1551,Tumor
SRR24166139,NYU1551,Normal
SRR24166140,NYU1512,Tumor
SRR24166141,NYU1512,Normal
SRR24166142,NYU1502,Tumor
SRR24166143,NYU1502,Normal
SRR24166144,NYU1487,Tumor
SRR24166145,NYU1487,Normal
SRR24166146,NYU947,Tumor
SRR24166147,NYU947,Normal
SRR24166148,NYU875,Tumor
SRR24166149,NYU875,Normal
SRR24166150,NYU867,Tumor
SRR24166151,NYU867,Normal
SRR24166152,NYU848,Tumor
SRR24166153,NYU848,Normal
SRR24166154,NYU831,Tumor
SRR24166155,NYU831,Normal
SRR24166156,NYU822,Tumor
SRR24166157,NYU822,Normal
